genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Thriller, Mystery, Drama",based on novel marriage crisis disappearance cheating husband missing person,en,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Twentieth Century Fox Film Corporation, Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood",145,Gone Girl,"Ben Affleck, Rosamund Pike, Carrie Coon, Neil Patrick, Harris Tyler, Perry",David Fincher
"Thriller, Mystery, Action, Drama",paris barcelona spain assassin based on novel secret identity,en,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?","Universal Pictures, Kennedy/Marshall Company, The, Hypnotic, Kalima Productions GmbH & Co. KG, Stillking Films",119,The Bourne Identity,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen, Brian Cox",Doug Liman
"Adventure, Thriller, Action",cuba falsely accused secret identity computer virus secret base,en,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"United Artists, Eon Productions",130,GoldenEye,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don, Baker",Martin Campbell
"Action, Comedy, Crime",undercover undercover agent based on comic book money fugitive,en,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,"Universal Studios, Marc Platt Productions, Emmett/Furla Films, Envision Entertainment Corporation",109,2 Guns,"Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton, Fred Ward",Baltasar Korm\u00e1kur
"Comedy, Family",fight governance puppy allergy 3d,en,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.","Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros., BenderSpink",87,Cats & Dogs,"Jeff Goldblum, Elizabeth Perkins, Alexander Pollock, Miriam Margolyes, Tobey Maguire",Lawrence Guterman
"Action, Crime",venice california train station helicopter austria,en,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.","De Line Pictures, Working Title Films",110,The Italian Job,"Mark Wahlberg, Charlize Theron, Edward Norton, Seth Green, Jason Statham",F. Gary Gray
"Romance, Comedy",island married couple yoga tahiti couples therapy,en,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face.","Universal Pictures, Wild West Picture Show Productions, Stuber Productions, Relativity Media",113,Couples Retreat,"Vince Vaughn, Malin Åkerman, Jason Bateman, Kristen Bell, Jon Favreau",Peter Billingsley
Action,based on novel resistance maze post-apocalyptic dystopia,en,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.","Gotham Group, Temple Hill Entertainment, TSG Entertainment",132,Maze Runner: The Scorch Trials,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito, Aidan Gillen",Wes Ball
Drama,indonesia female protagonist india divorce bali,en,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.","Columbia Pictures, Red Om Films, Plan B Entertainment",133,Eat Pray Love,"Julia Roberts, James Franco, Javier Bardem, Billy Crudup, Richard Jenkins",Ryan Murphy
"Adventure, Fantasy, Action",egypt temple,en,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.","Universal Pictures, Kalima Productions GmbH & Co. KG, World Wrestling Entertainment (WWE), Alphaville Films",92,The Scorpion King,"Dwayne Johnson, Kelly Hu, Michael Clarke, Duncan Steven, Brand Bernard, Hill",Chuck Russell
"Thriller, Crime, Drama",based on novel sniper investigation police quarry,en,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.","Paramount Pictures, Mutual Film Company, Skydance Productions, TC Productions",130,Jack Reacher,"Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo, Werner Herzog",Christopher McQuarrie
"Documentary, Music",pop star music concert aftercreditsstinger duringcreditsstinger,en,"A compilation of interviews, rehearsals and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London.",Columbia Pictures,111,This Is It,"Michael Jackson, Orianthi Kenny, Ortega Dorian, Holley Patrick, Woodroffe",Kenny Ortega
"Science Fiction, Thriller, Drama",saving the world mutation infection terminal illness quarantine,en,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.","Double Feature Films, Regency Enterprises, Warner Bros., Participant Media, Imagenation Abu Dhabi FZ",106,Contagion,"Matt Damon, Gwyneth Paltrow, Kate Winslet, Jude Law, Marion Cotillard",Steven Soderbergh
"Animation, Family",dream eye stuffed animal parallel world button,en,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.","Focus Features, Laika Entertainment",100,Coraline,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David",Henry Selick
"Science Fiction, Thriller",tree natural disaster crisis park strange behavior,en,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan.","Spyglass Entertainment, Twentieth Century Fox Film Corporation, Dune Entertainment, UTV Motion Pictures, Blinding Edge Pictures",91,The Happening,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Spencer Breslin, Betty Buckley",M. Night Shyamalan
"Comedy, Family",father son relationship parents kids relationship workaholic wife husband relationship transformation,en,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,"Walt Disney Pictures, Mandeville Films, Boxing Cat Films",98,The Shaggy Dog,"Tim Allen, Kristin Davis, Danny Glover, Spencer Breslin, Robert Downey, Jr.",Brian Robbins
"Science Fiction, Fantasy, Action",black magic fistfight cover-up superhero paranormal phenomena,en,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.","Revolution Studios, Dark Horse Entertainment, Lawrence Gordon Productions, Starlite Films",122,Hellboy,"Ron Perlman, Selma Blair, Rupert Evans, John Hurt, Jeffrey Tambor",Guillermo del Toro
"Adventure, Animation, Comedy, Family",medium stop motion curse jock ghost,en,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.","Focus Features, Laika Entertainment",90,ParaNorman,"Kodi Smit-McPhee, Tucker Albrizzi, Jodelle Ferland, Anna Kendrick, Casey Affleck",Sam Fell
"Adventure, Animation, Family",loyalty totalitarian regime mouse forgiveness honor,en,"Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",Larger Than Life Productions,93,The Tale of Despereaux,"Matthew Broderick, Dustin Hoffman, Emma Watson, Tracey Ullman, Kevin Kline",Robert Stevenhagen
